"";"data";"godzina";"zamkniecie"
"897";20190116;120000;139,88
"898";20190116;160000;140,18
"899";20190116;200000;140,13
"900";20190117;80000;140,02
"901";20190117;120000;140,17
"902";20190117;160000;140,69
"903";20190117;200000;141,87
"904";20190118;80000;141,64
"905";20190118;120000;141,59
"906";20190118;160000;141,54
"907";20190118;200000;141,26
"908";20190121;80000;141,01
"909";20190121;120000;140,91
"910";20190121;160000;141,05
"911";20190121;200000;141,29
"912";20190122;80000;140,91
"913";20190122;120000;141,32
"914";20190122;160000;141,45
"915";20190122;200000;141,55
"916";20190123;80000;142,11
"917";20190123;120000;142,44
"918";20190123;160000;143,36
"919";20190123;200000;143,16
"920";20190124;80000;143,33
"921";20190124;120000;143,12
"922";20190124;160000;142,81
"923";20190124;200000;143,12
"924";20190125;80000;143,98
"925";20190125;120000;143,53
"926";20190125;160000;143,88
"927";20190125;200000;144,75
"928";20190128;80000;144,05
"929";20190128;120000;144,1
"930";20190128;160000;143,86
"931";20190128;200000;143,85
"932";20190129;80000;143,72
"933";20190129;120000;144,02
"934";20190129;160000;144,13
"935";20190129;200000;143,14
"936";20190130;80000;142,89
"937";20190130;120000;143,26
"938";20190130;160000;143,34
"939";20190130;200000;142,9
"940";20190131;80000;142,79
"941";20190131;120000;142,62
"942";20190131;160000;142,36
"943";20190131;200000;142,75
"944";20190201;80000;142,66
"945";20190201;120000;142,11
"946";20190201;160000;142,74
"947";20190201;200000;143,24
"948";20190204;80000;143,49
"949";20190204;120000;143,38
"950";20190204;160000;143,75
"951";20190204;200000;143,32
"952";20190205;80000;143,32
"953";20190205;120000;143,04
"954";20190205;160000;142,48
"955";20190205;200000;142,46
"956";20190206;80000;142,18
"957";20190206;120000;142,14
"958";20190206;160000;142,27
"959";20190206;200000;142,26
"960";20190207;80000;142,21
"961";20190207;120000;141,67
"962";20190207;160000;142,39
"963";20190207;200000;142,29
"964";20190208;80000;142,05
"965";20190208;120000;142,34
"966";20190208;160000;142
"967";20190208;200000;141,96
"968";20190211;80000;142,24
"969";20190211;120000;142,15
"970";20190211;160000;142,1
"971";20190211;200000;141,95
"972";20190212;80000;142,19
"973";20190212;120000;141,91
"974";20190212;160000;142,34
"975";20190212;200000;142,48
"976";20190213;80000;142,83
"977";20190213;120000;142,56
"978";20190213;160000;142,99
"979";20190213;200000;142,62
"980";20190214;80000;142,88
"981";20190214;120000;142,46
"982";20190214;160000;141,42
"983";20190214;200000;141,37
"984";20190215;80000;141,37
"985";20190215;120000;141,5
"986";20190215;160000;141,56
"987";20190215;200000;142,28
"988";20190218;80000;142,68
"989";20190218;120000;142,92
"990";20190218;160000;142,95
"991";20190218;200000;142,93
"992";20190219;80000;142,83
"993";20190219;120000;143,09
"994";20190219;160000;144
